,id,first_reviewer_discarded,second_reviewer_discarded
856,380,FALSE,FALSE
857,381,FALSE,FALSE
858,383,FALSE,FALSE
859,384,FALSE,FALSE
860,385,FALSE,FALSE
861,388,FALSE,FALSE
862,389,FALSE,FALSE
863,390,FALSE,FALSE
864,391,FALSE,FALSE
865,400,FALSE,FALSE
866,401,FALSE,FALSE
867,403,FALSE,FALSE
868,404,FALSE,FALSE
869,405,FALSE,FALSE
870,407,FALSE,FALSE
871,408,FALSE,FALSE
872,409,FALSE,FALSE
873,415,FALSE,FALSE
874,416,FALSE,FALSE
875,417,FALSE,FALSE
876,425,FALSE,FALSE
877,426,FALSE,FALSE
878,427,FALSE,FALSE
879,431,FALSE,FALSE
880,432,FALSE,FALSE
881,435,FALSE,FALSE
882,439,FALSE,FALSE
883,442,FALSE,FALSE
884,445,FALSE,FALSE
885,446,FALSE,FALSE
886,447,FALSE,FALSE
887,448,FALSE,FALSE
888,449,FALSE,FALSE
889,451,FALSE,FALSE
890,455,FALSE,FALSE
891,456,FALSE,FALSE
892,458,FALSE,FALSE
893,461,FALSE,FALSE
894,462,FALSE,FALSE
895,463,FALSE,FALSE
896,464,FALSE,FALSE
897,467,FALSE,FALSE
898,470,FALSE,FALSE
899,471,FALSE,FALSE
900,475,FALSE,FALSE
901,476,FALSE,FALSE
902,477,FALSE,FALSE
903,478,FALSE,FALSE
904,479,FALSE,FALSE
905,481,FALSE,FALSE
906,486,FALSE,FALSE
907,488,FALSE,FALSE
908,489,FALSE,FALSE
909,492,FALSE,FALSE
910,493,FALSE,FALSE
911,494,FALSE,FALSE
912,496,FALSE,FALSE
913,497,FALSE,FALSE
914,498,FALSE,FALSE
915,501,FALSE,FALSE
916,502,FALSE,FALSE
917,503,FALSE,FALSE
918,504,FALSE,FALSE
919,509,FALSE,FALSE
920,512,FALSE,FALSE
921,514,FALSE,FALSE
922,516,FALSE,FALSE
923,520,FALSE,FALSE
924,521,FALSE,FALSE
925,524,FALSE,FALSE
926,525,FALSE,FALSE
927,526,FALSE,FALSE
928,527,FALSE,FALSE
929,528,FALSE,FALSE
930,529,FALSE,FALSE
931,530,FALSE,FALSE
932,531,FALSE,FALSE
933,532,FALSE,FALSE
934,533,FALSE,FALSE
935,534,FALSE,FALSE
936,535,FALSE,FALSE
937,536,FALSE,FALSE
938,537,FALSE,FALSE
939,538,FALSE,FALSE
940,540,FALSE,FALSE
941,541,FALSE,FALSE
942,542,FALSE,FALSE
943,543,FALSE,FALSE
944,544,FALSE,FALSE
945,545,FALSE,FALSE
946,546,FALSE,FALSE
947,547,FALSE,FALSE
948,549,FALSE,FALSE
949,550,FALSE,FALSE
950,551,FALSE,FALSE
951,552,FALSE,FALSE
952,553,FALSE,FALSE
953,554,FALSE,FALSE
954,555,FALSE,FALSE
955,556,FALSE,FALSE
956,559,FALSE,FALSE
957,560,FALSE,FALSE
958,561,FALSE,FALSE
959,562,FALSE,FALSE
960,563,FALSE,FALSE
961,564,FALSE,FALSE
962,565,FALSE,FALSE
963,566,FALSE,FALSE
964,567,FALSE,FALSE
965,568,FALSE,FALSE
966,569,FALSE,FALSE
967,570,FALSE,FALSE
968,571,FALSE,FALSE
969,572,FALSE,FALSE
